1,1409181674,4096,,,
2,1409181674,4096,0.005170107,,61440
3,1409181674,4096,0.010440111,777228.9714,
4,1409181675,4096,0.01564002,787706.0607,
5,1409181675,4096,0.020960093,769914.3669,
6,1409181675,4096,0.026160002,787706.0607,
7,1409181675,4096,0.031450033,774286.5145,
8,1409181675,4096,0.036689997,781684.8296,
9,1409181675,4096,0.041919947,783181.4909,
10,1409181675,4096,0.047320127,758493.1207,
11,1409181675,4096,0.052449942,798469.4731,
12,1409181675,4096,0.057729959,775754.9528,
13,1409181675,4096,0.062979937,780193.8776,
14,1409181675,4096,0.068259954,775754.9528,
15,1409181675,4096,0.073630095,762736.1563,
16,1409181675,4096,0.079600096,686097.0121,
17,1409181675,4096,0.08555007,688406.3626,
18,1409181675,4096,0.09149003,689566.8774,
19,1409181675,4096,0.097419977,690731.3117,
20,1409181675,4096,0.103379965,687249.7473,
21,1409181675,4096,0.109270096,695400.4932,
22,1409181675,4096,0.115329981,675920.4148,
23,1409181675,4096,0.121250153,691871.8209,
24,1409181675,4096,0.127120018,697801.3478,
25,1409181675,4096,0.133059978,689566.8774,
26,1409181675,4096,0.139009953,688406.3626,
27,1409181675,4096,0.144940138,690703.5414,
28,1409181675,4096,0.150880098,689566.8774,
29,1409181675,4096,0.156820059,689566.8774,
30,1409181675,4096,0.162760019,689566.8774,
31,1409181675,4096,0.16869998,689566.8774,
32,1409181675,4096,0.17463994,689566.8774,
34,1409181675,4096,0.180570126,690703.5414,
35,1409181675,4096,0.186510086,689566.8774,
36,1409181675,4096,0.192450047,689566.8774,
37,1409181675,4096,0.198390007,689566.8774,
38,1409181675,4096,0.204380035,683803.104,
39,1409181675,4096,0.210260153,696584.7295,
40,1409181675,4096,0.216259956,682689.0198,
42,1409181675,4096,0.222140074,696584.7295,
43,1409181675,4096,0.228140116,682661.8924,
44,1409181675,4096,0.234019995,696612.9748,
45,1409181675,4096,0.240010023,683803.104,
46,1409181675,4096,0.245929956,691899.6852,
47,1409181675,4096,0.251860142,690703.5414,
48,1409181675,4096,0.257830143,686097.0121,
49,1409181675,4096,0.263720036,695428.6425,
51,1409181675,4096,0.269659996,689566.8774,
52,1409181675,4096,0.275599957,689566.8774,
53,1409181675,4096,0.281549931,688406.3626,
54,1409181675,4096,0.287539959,683803.104,
55,1409181675,4096,0.293410063,697773.0061,
56,1409181675,4096,0.299410105,682661.8924,
57,1409181675,4096,0.305299997,695428.6425,
58,1409181675,4096,0.311249971,688406.3626,
60,1409181675,4096,0.317170143,691871.8209,
61,1409181675,4096,0.323120117,688406.3626,
62,1409181675,4096,0.329090118,686097.0121,
63,1409181675,4096,0.334990025,694248.3304,
64,1409181675,4096,0.340929985,689566.8774,
65,1409181675,4096,0.346879959,688406.3626,
66,1409181675,4096,0.352820158,689539.2006,
68,1409181675,4096,0.358839989,680417.806,
69,1409181675,4096,0.364690065,700161.7632,
70,1409181675,4096,0.37067008,684948.1375,
71,1409181675,4096,0.376620054,688406.3626,
72,1409181675,4096,0.382580042,687249.7473,
73,1409181675,4096,0.388489962,693072.0181,
74,1409181675,4096,0.394439936,688406.3626,
75,1409181675,4096,0.400370121,690703.5414,
77,1409181675,4096,0.406310081,689566.8774,
78,1409181675,4096,0.412250042,689566.8774,
79,1409181675,4096,0.418190002,689566.8774,
80,1409181675,4096,0.424160004,686097.0121,
81,1409181675,4096,0.430060148,694220.2766,
82,1409181675,4096,0.436010122,688406.3626,
83,1409181675,4096,0.441950083,689566.8774,
84,1409181675,4096,0.447890043,689566.8774,
86,1409181675,4096,0.453830004,689566.8774,
87,1409181675,4096,0.459759951,690731.3117,
88,1409181675,4096,0.46570015,689539.2006,
89,1409181675,4096,0.47164011,689566.8774,
90,1409181675,4096,0.47758007,689566.8774,
91,1409181675,4096,0.483479977,694248.3304,
92,1409181675,4096,0.489510059,679260.9989,
94,1409181675,4096,0.495429993,691899.6852,
95,1409181675,4096,0.50138998,687249.7473,
96,1409181675,4096,0.507369995,684948.1375,
97,1409181675,4096,0.513220072,700161.7632,
98,1409181675,4096,0.519200087,684948.1375,
99,1409181675,4096,0.525130033,690731.3117,
100,1409181675,4096,0.53102994,694248.3304,
101,1409181675,4096,0.536970139,689539.2006,
103,1409181675,4096,0.542920113,688406.3626,
104,1409181675,4096,0.548860073,689566.8774,
105,1409181675,4096,0.55479002,690731.3117,
106,1409181675,4096,0.56072998,689566.8774,
107,1409181675,4096,0.566659927,690731.3117,
108,1409181675,4096,0.572570086,693044.0592,
109,1409181675,4096,0.578540087,686097.0121,
110,1409181675,4096,0.584490061,688406.3626,
112,1409181675,4096,0.590420008,690731.3117,
113,1409181675,4096,0.596379995,687249.7473,
114,1409181675,4096,0.602299929,691899.6852,
115,1409181675,4096,0.608309984,681524.4837,
116,1409181675,4096,0.614200115,695400.4932,
117,1409181675,4096,0.620120049,691899.6852,
118,1409181675,4096,0.626070023,688406.3626,
120,1409181675,4096,0.631999969,690731.3117,
121,1409181675,4096,0.63793993,689566.8774,
122,1409181675,4096,0.643880129,689539.2006,
123,1409181675,4096,0.649810076,690731.3117,
124,1409181675,4096,0.655879974,674805.3413,
125,1409181675,4096,0.661730051,700161.7632,
126,1409181675,4096,0.667690039,687249.7473,
127,1409181675,4096,0.673609972,691899.6852,
129,1409181675,4096,0.679559946,688406.3626,
130,1409181675,4096,0.685510159,688378.7789,
131,1409181675,4096,0.691460133,688406.3626,
132,1409181675,4096,0.697380066,691899.6852,
133,1409181675,4096,0.703310013,690731.3117,
134,1409181675,4096,0.70923996,690731.3117,
