0,1408381015.89390230178833007812,8192
1,1408381016.14068388938903808594,8192
2,1408381016.1510028839111328125,8192
3,1408381016.16139507293701171875,8192
4,1408381016.17177271842956542969,8192
5,1408381016.18215656280517578125,8192
6,1408381016.19253301620483398438,8192
7,1408381016.202922821044921875,8192
8,1408381016.2133197784423828125,8192
9,1408381016.22370052337646484375,8192
10,1408381016.23406314849853515625,8192
11,1408381016.24446201324462890625,8192
12,1408381016.254840850830078125,8192
13,1408381016.26519036293029785156,8192
14,1408381016.27565217018127441406,8192
15,1408381016.286022186279296875,8192
16,1408381016.29641222953796386719,8192
17,1408381016.30696702003479003906,8192
18,1408381016.31741166114807128906,8192
19,1408381016.327838897705078125,8192
20,1408381016.33826732635498046875,8192
21,1408381016.34870743751525878906,8192
22,1408381016.3591403961181640625,8192
23,1408381016.36959600448608398438,8192
24,1408381016.3800296783447265625,8192
25,1408381016.39045619964599609375,8192
26,1408381016.40089392662048339844,8192
27,1408381016.41131925582885742188,8192
28,1408381016.42186951637268066406,8192
29,1408381016.43236446380615234375,8192
30,1408381016.44283461570739746094,8192
31,1408381016.45324444770812988281,8192
32,1408381016.46374917030334472656,8192
33,1408381016.47418904304504394531,8192
34,1408381016.48464250564575195312,8192
35,1408381016.49506068229675292969,8192
36,1408381016.50549292564392089844,8192
37,1408381016.51595544815063476562,8192
38,1408381016.52638792991638183594,8192
39,1408381016.53691625595092773438,8192
40,1408381016.54728007316589355469,8192
41,1408381016.55784130096435546875,8192
42,1408381016.5681705474853515625,8192
43,1408381016.5786285400390625,8192
44,1408381016.58915758132934570312,8192
45,1408381016.59955453872680664062,8192
46,1408381016.61000156402587890625,8192
47,1408381016.62049102783203125,8192
48,1408381016.63091349601745605469,8192
49,1408381016.64135646820068359375,8192
50,1408381016.65190434455871582031,8192
51,1408381016.66230154037475585938,8192
52,1408381016.67274308204650878906,8192
53,1408381016.68315911293029785156,8192
54,1408381016.69365191459655761719,8192
55,1408381016.70407438278198242188,8192
56,1408381016.71448802947998046875,8192
57,1408381016.72496294975280761719,8192
58,1408381016.73537778854370117188,8192
59,1408381016.74599242210388183594,8192
60,1408381016.75643038749694824219,8192
61,1408381016.76689195632934570312,8192
62,1408381016.77733516693115234375,8192
63,1408381016.78774309158325195312,8192
64,1408381016.79838061332702636719,8192
65,1408381016.80882549285888671875,8192
66,1408381016.8192844390869140625,8192
67,1408381016.82984900474548339844,8192
68,1408381016.84018659591674804688,8192
69,1408381016.8506565093994140625,8192
70,1408381016.861087799072265625,8192
71,1408381016.87149953842163085938,8192
72,1408381016.88198733329772949219,8192
73,1408381016.89245891571044921875,8192
74,1408381016.90301728248596191406,8192
75,1408381016.91344857215881347656,8192
76,1408381016.92386865615844726562,8192
77,1408381016.934284210205078125,8192
78,1408381016.94479632377624511719,8192
79,1408381016.95519852638244628906,8192
80,1408381016.96575379371643066406,8192
81,1408381016.97612881660461425781,8192
82,1408381016.9865436553955078125,8192
83,1408381016.99699068069458007812,8192
84,1408381017.00742697715759277344,8192
85,1408381017.01787304878234863281,8192
86,1408381017.02843046188354492188,8192
87,1408381017.03876900672912597656,8192
88,1408381017.04926657676696777344,8192
89,1408381017.05975675582885742188,8192
90,1408381017.07019186019897460938,8192
91,1408381017.08063101768493652344,8192
92,1408381017.091075897216796875,8192
93,1408381017.10151052474975585938,8192
94,1408381017.11196208000183105469,8192
95,1408381017.12244200706481933594,8192
96,1408381017.13271808624267578125,8192
97,1408381017.14255380630493164062,8192
98,1408381017.15241408348083496094,8192
99,1408381017.16230869293212890625,8192
100,1408381017.17220044136047363281,8192
101,1408381017.18193840980529785156,8192
102,1408381017.19178438186645507812,8192
103,1408381017.20170712471008300781,8192
104,1408381017.211536407470703125,8192
105,1408381017.2214107513427734375,8192
106,1408381017.23120260238647460938,8192
107,1408381017.24108052253723144531,8192
108,1408381017.25091671943664550781,8192
109,1408381017.26077914237976074219,8192
110,1408381017.27060556411743164062,8192
111,1408381017.28049302101135253906,8192
112,1408381017.29031991958618164062,8192
113,1408381017.30017995834350585938,8192
114,1408381017.31000995635986328125,8192
115,1408381017.31986713409423828125,8192
116,1408381017.32973647117614746094,8192
117,1408381017.339550018310546875,8192
118,1408381017.34942150115966796875,8192
119,1408381017.35931468009948730469,8192
120,1408381017.36916875839233398438,8192
121,1408381017.37897706031799316406,8192
122,1408381017.38888216018676757812,8192
123,1408381017.39867877960205078125,8192
124,1408381017.40851521492004394531,8192
125,1408381017.4183597564697265625,8192
126,1408381017.42822313308715820312,8192
127,1408381017.43807148933410644531,8192
128,1408381017.44828867912292480469,8192
129,1408381017.45814442634582519531,8192
130,1408381017.46796536445617675781,8192
131,1408381017.47787380218505859375,8192
132,1408381017.48779654502868652344,8192
133,1408381017.49765610694885253906,8192
134,1408381017.50746917724609375,8192
135,1408381017.51731395721435546875,8192
136,1408381017.52714967727661132812,8192
137,1408381017.53711104393005371094,8192
138,1408381017.54689502716064453125,8192
139,1408381017.55674815177917480469,8192
140,1408381017.56655788421630859375,8192
141,1408381017.57642245292663574219,8192
142,1408381017.586254119873046875,8192
143,1408381017.59607672691345214844,8192
144,1408381017.60595488548278808594,8192
145,1408381017.61579084396362304688,8192
146,1408381017.62567067146301269531,8192
147,1408381017.63547801971435546875,8192
148,1408381017.64540529251098632812,8192
149,1408381017.65523386001586914062,8192
150,1408381017.66520547866821289062,8192
151,1408381017.67500162124633789062,8192
152,1408381017.6848583221435546875,8192
153,1408381017.694736480712890625,8192
154,1408381017.7045650482177734375,8192
155,1408381017.71434903144836425781,8192
