%index, %time, %length,,t1,t2,b1,b2
72,1408134926,1408134926,8192,4.807240009,4.807299852,783914.0875,783931.9728
73,1408134926,1408134926,8192,4.817689896,4.817759991,783931.9728,783163.6398
74,1408134926,1408134926,8192,4.82818985,4.828259945,780193.8776,780193.8776
75,1408134926,1408134926,8192,4.838639975,4.838699818,783914.0875,784683.8944
76,1408134926,1408134926,8192,4.849089861,4.849149942,783931.9728,783914.0875
77,1408134926,1408134926,8192,4.859539986,4.859599829,783914.0875,783931.9728
78,1408134926,1408134926,8192,4.869979858,4.870049953,784683.8944,783914.0875
79,1408134926,1408134926,8192,4.880429983,4.880489826,783914.0875,784683.8944
80,1408134926,1408134926,8192,4.890869856,4.890939951,784683.8944,783914.0875
81,1408134926,1408134926,8192,4.901319981,4.901379824,783914.0875,784683.8944
82,1408134926,1408134926,8192,4.911779881,4.911839962,783181.4909,783163.6398
83,1408134926,1408134926,8192,4.922199965,4.922259808,786174.0846,786192.0732
84,1408134926,1408134926,8192,4.932649851,4.932709932,783931.9728,783914.0875
85,1408134926,1408134926,8192,4.943099976,4.943169832,783914.0875,783181.4909
86,1408134926,1408134926,8192,4.953649998,4.953709841,776491.2626,777228.9714
87,1408134926,1408134926,8192,4.96408987,4.964159966,784683.8944,783914.0875
88,1408134926,1408134926,8192,4.974539995,4.974599838,783914.0875,784683.8944
89,1408134926,1408134926,8192,4.985049963,4.985109806,779450.5324,779450.5324
90,1408134926,1408134926,8192,4.995499849,4.995569944,783931.9728,783163.6398
91,1408134926,1408134926,8192,5.005929947,5.005999804,785419.3057,785437.2598
92,1408134926,1408134926,8192,5.016379833,5.016439915,783931.9728,784665.9747
93,1408134926,1408134926,8192,5.026819944,5.026879787,784665.9747,784683.8944
94,1408134926,1408134926,8192,5.037269831,5.037329912,783931.9728,783914.0875
95,1408134926,1408134926,8192,5.047719955,5.047789812,783914.0875,783181.4909
96,1408134926,1408134926,8192,5.057929993,5.057999849,802347.7108,802347.7108
97,1408134926,1408134926,8192,5.067789793,5.067849874,830848.4674,831673.0011
98,1408134926,1408134926,8192,5.077649832,5.077719927,830828.3772,829985.4671
99,1408134926,1408134926,8192,5.087489843,5.087559938,832519.3441,832519.3441
100,1408134926,1408134926,8192,5.097329855,5.09739995,832519.3441,832519.3441
101,1408134926,1408134926,8192,5.107169867,5.107239962,832519.3441,832519.3441
102,1408134926,1408134926,8192,5.117029905,5.117089987,830828.3772,831673.0011
103,1408134926,1408134926,8192,5.126869917,5.126929998,832519.3441,832519.3441
104,1408134926,1408134926,8192,5.13677001,5.136839867,827466.9677,826650.7487
105,1408134926,1408134926,8192,5.146619797,5.146679878,831693.1321,832519.3441
106,1408134926,1408134926,8192,5.156459808,5.15651989,832519.3441,832519.3441
107,1408134926,1408134926,8192,5.166319847,5.166379929,830828.3772,830828.3772
108,1408134926,1408134926,8192,5.176169872,5.176229954,831673.0011,831673.0011
109,1408134926,1408134926,8192,5.186009884,5.186069965,832519.3441,832519.3441
110,1408134926,1408134926,8192,5.195849895,5.195919991,832519.3441,831673.0011
111,1408134926,1408134926,8192,5.205699921,5.205760002,831673.0011,832519.3441
112,1408134926,1408134926,8192,5.215549946,5.215619802,831673.0011,830848.4674
113,1408134926,1408134926,8192,5.2254498,5.225549936,827486.8956,824963.7063
114,1408134926,1408134926,8192,5.235399961,5.235459805,823303.2628,826650.7487
115,1408134926,1408134926,8192,5.245239973,5.245299816,832519.3441,832519.3441
116,1408134926,1408134926,8192,5.255089998,5.255149841,831673.0011,831673.0011
117,1408134926,1408134926,8192,5.26493001,5.264989853,832519.3441,832519.3441
118,1408134926,1408134926,8192,5.274769783,5.274839878,832539.5161,831673.0011
