%index, %time, %length
0,1408725374.40740728378295898438,1408725374.40755987167358398438,8192
1,1408725374.41568493843078613281,1408725374.41573643684387207031,8192
2,1408725374.42396688461303710938,1408725374.42400288581848144531,8192
3,1408725374.43222260475158691406,1408725374.43225240707397460938,8192
4,1408725374.44048738479614257812,1408725374.44052267074584960938,8192
5,1408725374.44874286651611328125,1408725374.4487762451171875,8192
6,1408725374.45699667930603027344,1408725374.45703053474426269531,8192
7,1408725374.4652690887451171875,1408725374.46530652046203613281,8192
8,1408725374.47353148460388183594,1408725374.47356700897216796875,8192
9,1408725374.48178362846374511719,1408725374.4818172454833984375,8192
10,1408725374.49003672599792480469,1408725374.49007081985473632812,8192
11,1408725374.49830913543701171875,1408725374.49834442138671875,8192
12,1408725374.50657224655151367188,1408725374.50660824775695800781,8192
13,1408725374.514827728271484375,1408725374.51486110687255859375,8192
14,1408725374.52308368682861328125,1408725374.52311754226684570312,8192
15,1408725374.5313625335693359375,1408725374.53139781951904296875,8192
16,1408725374.53962826728820800781,1408725374.53966426849365234375,8192
17,1408725374.54788494110107421875,1408725374.54791998863220214844,8192
18,1408725374.55614066123962402344,1408725374.55617451667785644531,8192
19,1408725374.56441330909729003906,1408725374.56444907188415527344,8192
20,1408725374.57266688346862792969,1408725374.57270026206970214844,8192
21,1408725374.58091998100280761719,1408725374.5809535980224609375,8192
22,1408725374.58917665481567382812,1408725374.58921122550964355469,8192
23,1408725374.5974483489990234375,1408725374.59748411178588867188,8192
24,1408725374.60570192337036132812,1408725374.60573267936706542969,8192
25,1408725374.61396098136901855469,1408725374.61399602890014648438,8192
26,1408725374.622234344482421875,1408725374.62228059768676757812,8192
27,1408725374.63050746917724609375,1408725374.63054156303405761719,8192
28,1408725374.63876485824584960938,1408725374.63879680633544921875,8192
29,1408725374.64702153205871582031,1408725374.64705538749694824219,8192
30,1408725374.6553363800048828125,1408725374.6553955078125,8192
31,1408725374.66362094879150390625,1408725374.66368055343627929688,8192
32,1408725374.67192149162292480469,1408725374.67198061943054199219,8192
33,1408725374.68021273612976074219,1408725374.68026971817016601562,8192
34,1408725374.68852710723876953125,1408725374.68858647346496582031,8192
35,1408725374.69681715965270996094,1408725374.69687390327453613281,8192
36,1408725374.70511007308959960938,1408725374.70516848564147949219,8192
37,1408725374.71339941024780273438,1408725374.71345734596252441406,8192
38,1408725374.72171258926391601562,1408725374.72177052497863769531,8192
39,1408725374.73000502586364746094,1408725374.73006224632263183594,8192
40,1408725374.73829531669616699219,1408725374.73835206031799316406,8192
41,1408725374.74658465385437011719,1408725374.74664187431335449219,8192
42,1408725374.75489830970764160156,1408725374.7549571990966796875,8192
43,1408725374.76318764686584472656,1408725374.76324295997619628906,8192
44,1408725374.77148032188415527344,1408725374.77158617973327636719,8192
45,1408725374.77977228164672851562,1408725374.77983045578002929688,8192
46,1408725374.7880840301513671875,1408725374.78814244270324707031,8192
47,1408725374.79637646675109863281,1408725374.79643392562866210938,8192
48,1408725374.80465078353881835938,1408725374.80470967292785644531,8192
49,1408725374.81293940544128417969,1408725374.81299257278442382812,8192
50,1408725374.82125306129455566406,1408725374.82130885124206542969,8192
51,1408725374.82954287528991699219,1408725374.82959580421447753906,8192
52,1408725374.83783054351806640625,1408725374.83788466453552246094,8192
53,1408725374.84612107276916503906,1408725374.84617495536804199219,8192
54,1408725374.85444307327270507812,1408725374.85449814796447753906,8192
55,1408725374.86273097991943359375,1408725374.86278653144836425781,8192
56,1408725374.87102365493774414062,1408725374.8710765838623046875,8192
57,1408725374.87937021255493164062,1408725374.87946605682373046875,8192
58,1408725374.8876667022705078125,1408725374.887722015380859375,8192
59,1408725374.89595723152160644531,1408725374.89601039886474609375,8192
60,1408725374.90424633026123046875,1408725374.90429854393005371094,8192
61,1408725374.91256213188171386719,1408725374.91261625289916992188,8192
62,1408725374.92085409164428710938,1408725374.92090749740600585938,8192
63,1408725374.92914628982543945312,1408725374.92920017242431640625,8192
64,1408725374.93744325637817382812,1408725374.93749928474426269531,8192
65,1408725374.94575643539428710938,1408725374.94581174850463867188,8192
66,1408725374.95404601097106933594,1408725374.95410013198852539062,8192
67,1408725374.962337493896484375,1408725374.96239233016967773438,8192
68,1408725374.97064971923828125,1408725374.97070574760437011719,8192
69,1408725374.978939056396484375,1408725374.97899460792541503906,8192
70,1408725374.98723077774047851562,1408725374.9872837066650390625,8192
71,1408725374.99559831619262695312,1408725374.99565601348876953125,8192
72,1408725375.0037593841552734375,1408725375.00381636619567871094,8192
73,1408725375.0117053985595703125,1408725375.01176285743713378906,8192
74,1408725375.01964712142944335938,1408725375.01970314979553222656,8192
75,1408725375.02759575843811035156,1408725375.02765178680419921875,8192
76,1408725375.03562378883361816406,1408725375.03568148612976074219,8192
77,1408725375.04356813430786132812,1408725375.04362583160400390625,8192
78,1408725375.05155038833618164062,1408725375.05163407325744628906,8192
79,1408725375.05949139595031738281,1408725375.05959558486938476562,8192
80,1408725375.06745290756225585938,1408725375.06758332252502441406,8192
81,1408725375.0753936767578125,1408725375.07544660568237304688,8192
82,1408725375.08333539962768554688,1408725375.08339071273803710938,8192
83,1408725375.0912799835205078125,1408725375.09133577346801757812,8192
84,1408725375.099246978759765625,1408725375.09930419921875,8192
85,1408725375.1071910858154296875,1408725375.10724616050720214844,8192
86,1408725375.11513066291809082031,1408725375.11518383026123046875,8192
87,1408725375.12307238578796386719,1408725375.12312817573547363281,8192
88,1408725375.131038665771484375,1408725375.13109445571899414062,8192
89,1408725375.13897991180419921875,1408725375.139034271240234375,8192
