%index, %time, %length
0,1408725811.10932278633117675781,1408725811.10939526557922363281,1024
1,1408725811.11044454574584960938,1408725811.11048936843872070312,1024
2,1408725811.11148524284362792969,1408725811.1115398406982421875,1024
3,1408725811.1125240325927734375,1408725811.11255621910095214844,1024
4,1408725811.11355686187744140625,1408725811.113590240478515625,1024
5,1408725811.11458110809326171875,1408725811.11461377143859863281,1024
6,1408725811.11557912826538085938,1408725811.11561107635498046875,1024
7,1408725811.11660838127136230469,1408725811.11663913726806640625,1024
8,1408725811.11763739585876464844,1408725811.11766910552978515625,1024
9,1408725811.11866641044616699219,1408725811.11869859695434570312,1024
10,1408725811.11968827247619628906,1408725811.11972117424011230469,1024
11,1408725811.12072086334228515625,1408725811.12075257301330566406,1024
12,1408725811.12175917625427246094,1408725811.12179040908813476562,1024
13,1408725811.12279272079467773438,1408725811.12282443046569824219,1024
14,1408725811.12382793426513671875,1408725811.12386155128479003906,1024
15,1408725811.12486052513122558594,1408725811.12489295005798339844,1024
16,1408725811.12589406967163085938,1408725811.12592577934265136719,1024
17,1408725811.12692379951477050781,1408725811.12695598602294921875,1024
18,1408725811.12795162200927734375,1408725811.12798404693603515625,1024
19,1408725811.12898015975952148438,1408725811.12901186943054199219,1024
20,1408725811.13000845909118652344,1408725811.13003993034362792969,1024
21,1408725811.13104128837585449219,1408725811.13106942176818847656,1024
22,1408725811.13207554817199707031,1408725811.13210749626159667969,1024
23,1408725811.13309931755065917969,1408725811.13313007354736328125,1024
24,1408725811.13413095474243164062,1408725811.13416290283203125,1024
25,1408725811.13515210151672363281,1408725811.13518047332763671875,1024
26,1408725811.13624095916748046875,1408725811.13629889488220214844,1024
27,1408725811.13730788230895996094,1408725811.13736176490783691406,1024
28,1408725811.13836812973022460938,1408725811.13842248916625976562,1024
29,1408725811.13942885398864746094,1408725811.13948178291320800781,1024
30,1408725811.14049053192138671875,1408725811.1405391693115234375,1024
31,1408725811.14154505729675292969,1408725811.1415958404541015625,1024
32,1408725811.14261078834533691406,1408725811.14265894889831542969,1024
33,1408725811.14367008209228515625,1408725811.14371895790100097656,1024
34,1408725811.14472603797912597656,1408725811.14477419853210449219,1024
35,1408725811.14578580856323242188,1408725811.14583516120910644531,1024
36,1408725811.14684414863586425781,1408725811.14689230918884277344,1024
37,1408725811.14790582656860351562,1408725811.14795422554016113281,1024
38,1408725811.14896273612976074219,1408725811.14901018142700195312,1024
39,1408725811.15001821517944335938,1408725811.15006589889526367188,1024
40,1408725811.15107965469360351562,1408725811.15112733840942382812,1024
41,1408725811.1521396636962890625,1408725811.152187347412109375,1024
42,1408725811.15319347381591796875,1408725811.15324163436889648438,1024
43,1408725811.15424799919128417969,1408725811.15429615974426269531,1024
44,1408725811.15530323982238769531,1408725811.15535211563110351562,1024
45,1408725811.15636301040649414062,1408725811.1564121246337890625,1024
46,1408725811.15741848945617675781,1408725811.15746736526489257812,1024
47,1408725811.15847420692443847656,1408725811.15852212905883789062,1024
48,1408725811.15962147712707519531,1408725811.15968108177185058594,1024
49,1408725811.16069054603576660156,1408725811.16074609756469726562,1024
50,1408725811.16175174713134765625,1408725811.16180682182312011719,1024
51,1408725811.16283845901489257812,1408725811.16289520263671875,1024
52,1408725811.16390943527221679688,1408725811.16395831108093261719,1024
53,1408725811.16496729850769042969,1408725811.16501450538635253906,1024
54,1408725811.16602206230163574219,1408725811.1660671234130859375,1024
55,1408725811.1670742034912109375,1408725811.16711926460266113281,1024
56,1408725811.16817378997802734375,1408725811.16822934150695800781,1024
57,1408725811.16923689842224121094,1408725811.16929078102111816406,1024
58,1408725811.17029643058776855469,1408725811.17035055160522460938,1024
59,1408725811.17135763168334960938,1408725811.17140960693359375,1024
60,1408725811.17242836952209472656,1408725811.17248129844665527344,1024
61,1408725811.17348814010620117188,1408725811.1735324859619140625,1024
62,1408725811.17455220222473144531,1408725811.17460370063781738281,1024
63,1408725811.17561745643615722656,1408725811.175670623779296875,1024
64,1408725811.17668986320495605469,1408725811.17674231529235839844,1024
65,1408725811.17774820327758789062,1408725811.17779994010925292969,1024
66,1408725811.17880749702453613281,1408725811.178859710693359375,1024
67,1408725811.17987680435180664062,1408725811.17992687225341796875,1024
68,1408725811.18094277381896972656,1408725811.18099927902221679688,1024
69,1408725811.18200635910034179688,1408725811.18206191062927246094,1024
70,1408725811.18306756019592285156,1408725811.18311905860900878906,1024
71,1408725811.18413329124450683594,1408725811.184185028076171875,1024
72,1408725811.185192108154296875,1408725811.18524432182312011719,1024
73,1408725811.18625020980834960938,1408725811.18630123138427734375,1024
74,1408725811.18730807304382324219,1408725811.187358856201171875,1024
75,1408725811.18839931488037109375,1408725811.1884517669677734375,1024
76,1408725811.18945741653442382812,1408725811.18950366973876953125,1024
77,1408725811.19051146507263183594,1408725811.19055867195129394531,1024
78,1408725811.19157052040100097656,1408725811.19161820411682128906,1024
79,1408725811.19262576103210449219,1408725811.19267177581787109375,1024
80,1408725811.19367671012878417969,1408725811.19372248649597167969,1024
81,1408725811.19472932815551757812,1408725811.19477510452270507812,1024
82,1408725811.19578814506530761719,1408725811.19583582878112792969,1024
83,1408725811.19684171676635742188,1408725811.196887969970703125,1024
84,1408725811.19789266586303710938,1408725811.19793915748596191406,1024
85,1408725811.19894289970397949219,1408725811.19898962974548339844,1024
86,1408725811.20000219345092773438,1408725811.20005011558532714844,1024
87,1408725811.20105600357055664062,1408725811.20110249519348144531,1024
88,1408725811.20211505889892578125,1408725811.20216059684753417969,1024
89,1408725811.20316624641418457031,1408725811.20321345329284667969,1024
